emp_no,first_name,last_name,birth_date,from_date,to_date,title,
48882,Leen,Lamparter,1/28/65,6/7/93,1/1/99,Engineer,
48904,Yuichiro,Malabarba,1/23/65,3/7/94,1/1/99,Senior Staff,
48947,Filipp,Akaboshi,1/5/65,5/20/92,1/1/99,Senior Staff,
49010,Kazuhisa,Benantar,1/16/65,3/30/90,1/1/99,Senior Staff,
49017,Filipp,Flanders,1/7/65,11/26/90,1/1/99,Engineer,
49119,Lena,Peek,1/9/65,5/16/91,1/1/99,Engineer,
49177,Tze,Bach,1/3/65,3/9/99,1/1/99,Engineer,
49464,Siddarth,Cappelletti,1/14/65,9/10/99,1/1/99,Staff,
49477,Baocai,Leaver,1/14/65,8/5/98,1/1/99,Senior Staff,
50293,Xinan,Rindone,1/26/65,10/8/96,1/1/99,Engineer,
50311,Mooi,Stafford,1/24/65,10/6/96,1/1/99,Senior Engineer,
50360,Sumali,Kushner,1/18/65,10/30/99,10/29/01,Engineer,
50453,Aron,Harbusch,1/12/65,10/2/97,1/1/99,Staff,
50587,Slavian,Yemenis,1/26/65,8/6/93,11/18/94,Technique Leader,
50670,Boguslaw,Snedden,1/30/65,2/20/85,1/1/99,Senior Staff,
50831,Marie,Khalid,1/6/65,6/11/96,1/1/99,Senior Engineer,
51036,Chriss,Fasbender,1/29/65,5/23/95,1/1/99,Staff,
51057,Theirry,Albarhamtoshy,1/29/65,9/27/91,1/1/99,Senior Staff,
51060,Youngkon,Rohrbach,1/15/65,10/20/89,1/1/99,Engineer,
51118,Fumiko,Mundy,1/17/65,9/22/98,8/20/01,Staff,
51142,Rosine,Lakshmanan,1/29/65,1/31/86,1/1/99,Engineer,
51502,Slavian,Munawer,1/29/65,8/6/99,9/4/01,Senior Staff,
51868,Remmert,Munke,1/19/65,9/22/91,5/19/98,Assistant Engineer,
52038,Chikako,Armand,1/13/65,5/18/85,1/1/99,Senior Engineer,
52040,Phule,Heijenga,1/14/65,12/8/96,1/1/99,Senior Staff,
52283,Trygve,Krupka,1/20/65,3/11/94,1/1/99,Senior Staff,
52386,Adas,Denti,1/28/65,5/30/86,1/1/99,Senior Staff,
52590,Jouni,Munoz,1/21/65,10/7/96,1/1/99,Senior Staff,
52599,Augustine,Mungall,1/25/65,8/31/87,1/13/94,Engineer,
52639,Arup,Colorni,1/9/65,2/5/96,1/1/99,Senior Staff,
52770,Shugo,Yurek,1/31/65,8/28/92,1/1/99,Senior Staff,
52778,Alain,Penn,1/15/65,5/3/86,1/1/99,Technique Leader,
52956,Khalil,Picci,1/31/65,3/21/87,11/24/98,Engineer,
52970,Lobel,Werthner,1/22/65,3/17/88,1/1/99,Engineer,
53088,Mechthild,Lamma,1/25/65,5/19/86,6/3/93,Engineer,
53278,Premsyl,Lortz,1/31/65,2/1/93,1/1/99,Senior Staff,
53314,Eberhardt,Carrera,1/6/65,2/23/99,1/1/99,Staff,
53431,Sham,Vasanthakumar,1/12/65,10/24/85,5/24/93,Senior Staff,
53499,Zdislav,Mandelberg,1/20/65,9/11/94,1/1/99,Engineer,
53597,Jiafu,Marchegay,1/30/65,3/2/85,1/1/99,Engineer,
53746,Manu,Erva,1/21/65,3/17/89,4/29/93,Staff,
53874,Bodo,Schade,1/23/65,2/14/86,1/1/99,Senior Staff,
53891,Olivera,Pargaonkar,1/23/65,3/13/89,3/29/92,Staff,
53924,Arnould,Gaughan,1/27/65,1/23/91,1/1/99,Engineer,
54198,Shaowen,Segond,1/1/65,1/6/86,1/1/99,Engineer,
54632,Etsuo,Serot,1/19/65,6/14/89,1/1/99,Senior Staff,
54795,Sumant,Nergos,1/29/65,3/2/94,1/1/99,Senior Staff,
54800,Breannda,Cangellaris,1/13/65,1/27/00,1/1/99,Staff,
55121,Toshiko,Alblas,1/12/65,7/20/95,7/23/96,Engineer,
55640,Adit,Syrotiuk,1/25/65,7/16/93,1/1/99,Engineer,
55670,Ulf,Ranft,1/30/65,3/25/90,2/26/96,Senior Staff,
55687,Shih,Lindqvist,1/2/65,3/29/95,1/1/99,Senior Engineer,
55799,Jianwen,Litzler,1/23/65,6/17/87,1/1/99,Engineer,
55857,Adin,Scallan,1/18/65,9/15/87,1/1/99,Senior Staff,
56105,Makato,Remmers,1/11/65,4/16/89,1/1/99,Engineer,
56209,Remzi,Douceur,1/19/65,12/1/92,1/1/99,Engineer,
56415,Sigeru,Nivat,1/30/65,10/24/91,1/1/99,Senior Staff,
56428,Olivera,Hanabata,1/27/65,11/10/86,1/1/99,Senior Staff,
56682,Roded,Picco,1/28/65,11/6/93,1/1/99,Assistant Engineer,
56829,Nagui,Gruenwald,1/9/65,12/24/95,6/14/97,Engineer,
56847,Menkae,Chinin,1/14/65,8/19/89,8/27/98,Senior Engineer,
57934,Sanjoy,Boudaillier,1/25/65,12/27/89,1/1/99,Engineer,
57982,Paloma,Benzaken,1/29/65,10/17/89,9/11/98,Senior Staff,
58141,Bezalel,Karner,1/5/65,9/27/94,1/1/99,Staff,
58147,Shigenori,Sullins,1/9/65,2/24/88,1/1/99,Senior Staff,
58217,Kiyotoshi,Kusalik,1/30/65,11/19/98,6/26/99,Engineer,
58384,Mariusz,Vural,1/22/65,11/14/93,1/1/99,Engineer,
58454,Ziya,Zambonelli,1/25/65,6/29/99,1/1/99,Engineer,
58497,Yechiam,Cairo,1/22/65,10/21/00,1/1/99,Senior Staff,
58601,Sungwon,Asser,1/6/65,1/27/00,4/1/00,Staff,
58819,Gennady,Liesche,1/4/65,12/2/87,1/1/99,Senior Staff,
58990,Palash,Trelles,1/4/65,11/18/98,1/1/99,Engineer,
59195,Ronnie,Pollock,1/8/65,6/19/90,1/1/99,Technique Leader,
59329,Zissis,Bazzichi,1/15/65,2/7/87,1/25/91,Staff,
59640,Zita,Hiltgen,1/18/65,1/26/99,1/1/99,Staff,
59661,Saeko,Baik,1/9/65,10/11/97,8/15/99,Staff,
59869,Zsolt,Riefers,2/1/65,9/25/87,1/1/99,Senior Staff,
59966,Steen,Salvesen,1/28/65,2/3/93,1/1/99,Technique Leader,
60000,Heekeun,Emmart,1/16/65,9/23/95,1/1/99,Assistant Engineer,
60091,Surveyors,Bade,2/1/65,4/11/90,1/1/99,Senior Staff,
60238,Erzsebet,Claffy,1/23/65,2/19/99,1/1/99,Staff,
60559,Jeanna,Stemann,1/19/65,8/29/88,1/1/99,Engineer,
60821,Moty,Mersereau,1/2/65,9/3/91,1/1/99,Senior Staff,
60845,Bedir,Siegrist,1/14/65,5/13/97,1/1/99,Engineer,
60875,Rildo,Masaki,1/21/65,1/14/90,1/1/99,Engineer,
60959,Tetsushi,Sridhar,1/9/65,10/19/89,1/1/99,Senior Staff,
61147,Leszek,Werthner,1/30/65,3/3/99,1/1/99,Staff,
61253,Cheong,Uhrik,1/9/65,6/4/96,5/9/02,Engineer,
61377,Dannz,Ohori,1/1/65,4/13/97,1/1/99,Senior Staff,
61541,Kasidit,Papsdorf,1/8/65,8/17/93,1/1/99,Engineer,
61680,Hauke,Templeman,1/24/65,10/23/91,2/21/99,Staff,
61873,Woody,Rusmann,1/19/65,2/26/93,1/1/99,Assistant Engineer,
61983,Sastry,Reeken,1/18/65,7/24/90,5/17/92,Staff,
62033,Heeju,Cappelli,1/24/65,1/15/87,1/1/99,Engineer,
62046,Karlis,Nanard,1/31/65,9/19/92,1/1/99,Engineer,
62167,Mihalis,Haldar,1/25/65,5/11/98,2/3/01,Senior Engineer,
62245,Adel,Bressoud,1/1/65,8/30/95,1/1/99,Engineer,
62384,Akeel,Litzler,1/2/65,10/23/99,12/21/01,Senior Staff,
63294,Tetsushi,Tanemo,1/23/65,3/1/97,1/1/99,Engineer,
63419,Hiroyasu,Seuren,1/14/65,3/5/89,1/1/99,Senior Engineer,
63441,Hinrich,Scallan,1/15/65,4/4/99,1/1/99,Staff,
63444,Padma,Peres,1/19/65,2/20/85,12/22/94,Senior Staff,
63566,Heekeun,Slaats,1/31/65,1/12/99,1/1/99,Senior Staff,
63631,Falguni,Cherinka,1/22/65,9/8/86,10/15/87,Senior Engineer,
63706,Sedat,Itzigehl,1/26/65,7/31/97,1/1/99,Engineer,
64023,Laurentiu,Benzmuller,1/11/65,11/8/99,1/1/99,Senior Engineer,
64209,Golgen,Schoegge,1/24/65,2/26/88,1/1/99,Senior Staff,
64431,Faiza,Zongker,1/25/65,12/10/95,12/3/01,Technique Leader,
64487,Tsutomu,Rebaine,1/27/65,9/17/86,1/1/99,Engineer,
64532,Atilio,Segond,1/23/65,11/29/90,1/1/99,Engineer,
64632,Zsolt,Brender,1/7/65,2/21/96,1/1/99,Senior Staff,
64790,Shin,Piveteau,1/29/65,4/19/85,1/1/99,Engineer,
64828,Krister,Pappas,1/27/65,9/30/99,1/1/99,Staff,
64984,Eldridge,Eldridge,1/6/65,6/24/86,8/4/94,Engineer,
65013,Chandrasekaran,Peral,1/3/65,2/28/85,12/14/01,Engineer,
65171,Jeane,Tasistro,1/25/65,7/6/94,1/1/99,Technique Leader,
65539,Aksel,Picaronny,1/23/65,1/27/91,1/1/99,Engineer,
65883,Patricia,Pepe,1/7/65,4/19/91,1/1/99,Senior Staff,
65998,Mandell,Alameldin,1/9/65,4/8/89,1/1/99,Senior Staff,
66382,Domenico,Candan,1/4/65,7/13/97,1/1/99,Engineer,
66530,Dung,Leaver,1/29/65,4/4/98,1/1/99,Staff,
66643,Jianhao,Tomescu,1/18/65,8/26/96,1/1/99,Engineer,
66702,Deniz,Thibadeau,2/1/65,9/27/94,1/1/99,Engineer,
66757,Yonghong,Baig,1/16/65,4/10/99,1/1/99,Staff,
66807,Aiman,Rosaz,1/21/65,5/22/90,1/1/99,Engineer,
67320,Sadok,Lorys,1/18/65,5/10/87,1/1/99,Senior Staff,
67548,Fumitaka,Roohalamini,1/11/65,6/27/98,1/1/99,Staff,
67934,Aiman,Gargeya,1/7/65,3/7/85,1/1/99,Engineer,
68022,Kristinn,Pearson,1/12/65,5/7/95,6/26/99,Staff,
68168,Marl,Thiria,1/14/65,3/18/87,12/31/96,Senior Staff,
68263,Fumiko,Bodoff,1/16/65,12/19/91,7/11/93,Staff,
68416,Munenori,Debuse,1/27/65,11/8/90,1/1/99,Senior Engineer,
68608,Yucai,Seghrouchni,1/26/65,6/9/89,1/1/99,Engineer,
68633,Chinhyun,Rassart,1/28/65,7/29/93,1/1/99,Senior Engineer,
68648,Jaques,DiGiano,1/25/65,4/1/92,1/1/99,Technique Leader,
69052,Shietung,Shrader,1/26/65,8/5/95,1/1/99,Senior Staff,
69219,Shuky,Redmiles,1/9/65,11/19/94,1/1/99,Senior Staff,
